especie,nome-2,formaFarmaceutica,unidade,apresentacao,controlado,classificacao,via,motivo_conflito,precisa_revisao,motivos_revisao,validacao,diferenca_justificada
Bovino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM ou SC,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM ou SC,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM ou SC,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM ou SC,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM ou SC,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM ou SC,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM ou SC,INTERNO(Bovino: linhas divergentes entre vias),False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM ou SC,INTERNO(Bovino: linhas divergentes entre vias),False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM ou SC,INTERNO(Bovino: linhas divergentes entre vias),False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM ou SC,INTERNO(Bovino: linhas divergentes entre vias),False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM ou SC,INTERNO(Bovino: linhas divergentes entre vias),False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM ou SC,INTERNO(Bovino: linhas divergentes entre vias),False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetato de retinol; aminoácidos; metionina; cloranfenicol - tubo 3.5 g,Pomada Oftálmica,g,Tubo de 3.5 g,False,Antibiótico Cicatrizante,Ocular,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico Cicatrizante"" x Bovino=""Antibacteriano"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetato de retinol; aminoácidos; metionina; cloranfenicol - tubo 3.5 g,Pomada Oftálmica,g,Tubo de 3.5 g,False,Antibiótico Cicatrizante,Ocular,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico Cicatrizante"" x Bovino=""Antibacteriano"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,ACH - 80 Desinfetante - bambona 5 L,Solução Desinfetante,L,Bombona de 5 L,False,Desinfetante,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Solução"" x Bovino=""Solução Desinfetante"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,ACH - 80 Desinfetante - bambona 5 L,Solução Desinfetante,L,Bombona de 5 L,False,Desinfetante,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Solução"" x Bovino=""Solução Desinfetante"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,ACH - 80 Desinfetante - frasco 1 L,Solução Desinfetante,L,Frasco de 1 L,False,Desinfetante,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Solução"" x Bovino=""Solução Desinfetante"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,ACH - 80 Desinfetante - frasco 1 L,Solução Desinfetante,L,Frasco de 1 L,False,Desinfetante,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Solução"" x Bovino=""Solução Desinfetante"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Acetilsalicílico - Agespirin,Pó,g,Pote de 500 g,False,Anti-inflamatório Não Esteroidal (AINE),Oral,"CROSS_ESPECIE(apresentacao: Equino=""Pote de 500 g"" x Bovino=""Pote"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Acetilsalicílico - Agespirin,Pó,g,Pote de 500 g,False,Anti-inflamatório Não Esteroidal (AINE),Oral,"CROSS_ESPECIE(apresentacao: Equino=""Pote de 500 g"" x Bovino=""Pote"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Acura - frasco-ampola 25 mL,Suspensão Injetável,mL,Frasco-ampola de 25 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Acura - frasco-ampola 25 mL,Suspensão Injetável,mL,Frasco-ampola de 25 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,"SC, IM, IV ou Intracardíaca","CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Afaste Granulado - frasco 480 g,Granulado,g,Frasco de 480 g,False,Repelente,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Granulado"" x Bovino=""Pó Granulado"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Afaste Granulado - frasco 480 g,Granulado,g,Frasco de 480 g,False,Repelente,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Granulado"" x Bovino=""Pó Granulado"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Agita 1 GB - sachê 100 g,Isca Granulada,g,Sachê de 100 g,False,Inseticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Isca Granulada"" x Bovino=""Granulado Isca"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Agita 1 GB - sachê 100 g,Isca Granulada,g,Sachê de 100 g,False,Inseticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Isca Granulada"" x Bovino=""Granulado Isca"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
