nome;cnpj;cep;endereco;telefone;tipoLocalizacao;_cnaePrincipal;_cnaeMatch;_uf;_municipio;_situacao;_razaoSocial
ADESTRAMENTO RJ LTDA;66.690.463/0001-30;22461-000;RUA JARDIM BOTANICO, nº 00182, APT 304, JARDIM BOTANICO - RIO DE JANEIRO/RJ;(21) 98386850;HOTEL_ANIMAL;0162803;0162803;RJ;RIO DE JANEIRO;02;ADESTRAMENTO RJ LTDA
HARAS OUTBACK LTDA;66.738.167/0001-62;11675-000;AVENIDA PRESIDENTE CAMPOS SALLES, nº 1764, JARAGUAZINHO - CARAGUATATUBA/SP;(12) 97740536;CENTRO_TREINAMENTO;8591100;8591100;SP;CARAGUATATUBA;02;HARAS OUTBACK LTDA
HARAS L P L;66.995.298/0001-25;63860-000;ESTRADA LOCALIDADE MANGA, nº 0000, ZONA RURAL - MADALENA/CE;(88) 97152662;HARAS;0152102;0152102;CE;MADALENA;02;HARAS L P L & COMPANHIA LTDA
LUIS FELIPE SANTOS DE OLIVEIRA;67.010.981/0001-29;18540-970;FAZENDA VAL DO PARAISO GLEBA1, nº SN, JACUTINGA - PORTO FELIZ/SP;(11) 99515407;HARAS;0152102;0152102;SP;PORTO FELIZ;02;LUIS FELIPE SANTOS DE OLIVEIRA
EQUIPE DO KIM;67.148.287/0001-72;33233-044;RUA CONDE DOLABELA PORTELA, nº 2369, VARZEA - LAGOA SANTA/MG;(31) 22222222;HARAS;0152102;0152102;MG;LAGOA SANTA;02;ESCOLA DE EQUITACAO ROQUE NETTO SOARES LTDA
LUIZ UMBERTO ALVES;25.004.533/0002-53;18264-899;ESTRADA MUNICIPAL CESAR AUGUSTO MENDES DA SILVA, nº S/N, VARZEAO - PORANGABA/SP;(11) 71423262;HARAS;0152102;0152102;SP;PORANGABA;02;LUIZ UMBERTO ALVES
BUCKAROO RANCH;67.674.546/0001-07;75950-000;RODOVIA BR 060 MARGEM ESQ SENTIDO GOIANIA A RIO VERDE, nº S/N, KM 314, ZONA RURAL - JANDAIA/GO;(62) 32428737;HARAS;0152102;0152102;GO;JANDAIA;02;BUCKAROO RANCH LTDA
VICTOR VASCONCELOS DE OLIVEIRA;67.747.613/0001-68;15178-899;ESTANCIA SAO SEBASTIAO, nº SN, ZONA RURAL, MALHADOR - TANABI/SP;(17) 91658042;HARAS;0152102;0152102;SP;TANABI;02;VICTOR VASCONCELOS DE OLIVEIRA
RANCHO ZE MORAIS LTDA;67.794.336/0001-44;25846-030;ESTRADA DO MORRO GRANDE, nº 172, MORRO GRANDE - AREAL/RJ;(24) 92098281;HARAS;0152102;0152102;RJ;AREAL;02;RANCHO ZE MORAIS LTDA
NUCLEO DE CRIADORES DE CAVALOS CRIOULOS DE PASSO FUNDO.;01.878.680/0001-03;99025-004;RODOVIA RST 153, nº S/N, KM 0, BOQUEIRAO - PASSO FUNDO/RS;(54) 96760367;HARAS;0152102;0152102;RS;PASSO FUNDO;02;NUCLEO DE CRIADORES DE CAVALOS CRIOULOS DE PASSO FUNDO.
N.C.C.C.T;00.444.369/0001-93;89805-280;RUA LISBOA, nº 751, D, LIDER - CHAPECO/SC;(049) 3242408;CLUBE;9312300;9312300;SC;CHAPECO;02;NUCLEO CATARINENSE CRIADORES DE CAVALO QUARTO DE MILHA - N.C.Q.M
COUDELARIA GOSIK;03.777.837/0001-30;05423-050;RUA BENTO FRIAS, nº 120, BUTANTA - SAO PAULO/SP;(011) 2129598;HOTEL_ANIMAL;0162803;0162803;SP;SAO PAULO;02;COUDELARIA GOSIK LARA SERVICOS DE TREINAMENTO E ADESTRAMENTO S/C LTDA
COUDELARIA MITO LUSITANO LTDA;05.764.706/0001-43;13310-220;ESTRADA DO JACU, nº S/N, FAZENDA MARIA LUISA, DO JACUHU - ITU/SP;;HARAS;0152102;0152102;SP;ITU;02;COUDELARIA MITO LUSITANO LTDA
HARAS ADAL;00.944.883/0001-98;83403-515;RUA ANTONIO CHEMIN, nº 83, SAO GABRIEL - COLOMBO/PR;(41) 95966195;HARAS;0152102;0152102;PR;COLOMBO;02;HARAS ADAL LTDA
HARAS DUAS MENINAS;04.317.356/0001-04;88058-300;RODOVIA JOAO GUALBERTO SOARES, nº SN, INGLESES DO RIO VERMELHO - FLORIANOPOLIS/SC;(48) 30313852;HARAS;0152102;0152102;SC;FLORIANOPOLIS;02;HARAS DUAS MENINAS LTDA
CABANHA RANCHO QUEIMADO;04.496.655/0001-53;12450-000;AVENIDA ANTONIO J OLIVEIRA, nº 931, CENTRO - SANTO ANTONIO DO PINHAL/SP;(12) 97442580;HARAS;0152102;0152102;SP;SANTO ANTONIO DO PINHAL;02;CABANHA RANCHO QUEIMADO LTDA
CLUBE DO CAVALO AMIGOS DA TRADICAO DE SERRA ALTA;73.745.333/0001-13;89291-320;ESTRADA SERTAOZINHO, nº S/N, SERRA ALTA - SAO BENTO DO SUL/SC;(47) 99967214;CLUBE;9312300;9312300;SC;SAO BENTO DO SUL;02;CLUBE DO CAVALO AMIGOS DA TRADICAO DE SERRA ALTA
JOCKEY CLUB DE SAO PAULO;60.920.345/0005-19;05423-050;RUA BENTO FRIAS, nº 248, PINHEIROS - SAO PAULO/SP;(11) 21612004;CLUBE;9312300;9312300;SP;SAO PAULO;02;JOCKEY CLUB DE SAO PAULO
CREATRIX AGROPECUARIA;58.092.396/0001-24;05319-000;AVENIDA QUEIROZ FILHO, nº 751, BOACAVA - SAO PAULO/SP;(11) 85178733;HARAS;0152102;0152102;SP;SAO PAULO;02;CREATRIX AGROPECUARIA LTDA
AGROMEN AGRO-PECUARIA LTDA;22.375.158/0001-89;14620-000;RODOVIA ALTINO ARANTES, nº SN, KM 87, SITIO MOSQUITO - ORLANDIA/SP;;HARAS;0152102;0152102;SP;ORLANDIA;02;AGROMEN AGRO-PECUARIA LTDA
VITAGRO;84.941.350/0001-42;83301-644;RUA NOVA TIROL, nº 2070, CAPOEIRA DOS DINOS - PIRAQUARA/PR;(41) 92551188;HARAS;0152102;0152102;PR;PIRAQUARA;02;FAZENDA VITAGRO LTDA
PALHA AGROPECUARIA LTDA;30.176.135/0001-73;28500-000;FAZENDA DA PALHA, nº SN, STA RITA FLORESTA, 2 DISTRITO - CANTAGALO/RJ;;HARAS;0152102;0152102;RJ;CANTAGALO;02;PALHA AGROPECUARIA LTDA
CENTRO EQUESTRE MC BRASIL;30.473.342/0001-90;23520-410;RUA AJURICABA, nº 484, SANTA CRUZ - RIO DE JANEIRO/RJ;(21) 25094141;CENTRO_TREINAMENTO;8591100;8591100;RJ;RIO DE JANEIRO;02;TEAM EQUESTRE LTDA
JOCKEY CLUB DE LIVRAMENTO;87.511.580/0001-60;97571-550;AVENIDA SALDANHA DA GAMA, nº S N, PARQUE DAS AGUAS - SANTANA DO LIVRAMENTO/RS;;CLUBE;9312300;9312300;RS;SANTANA DO LIVRAMENTO;02;JOCKEY CLUB DE LIVRAMENTO
JOCKEY CLUB CARAZINHENSE;87.629.671/0001-02;99500-000;LOC VL HIPICA, nº S N, VL HIPICA - CARAZINHO/RS;;HARAS;0152102;0152102;RS;CARAZINHO;02;JOCKEY CLUB CARAZINHENSE
IT'S FARM;32.546.467/0001-28;28820-000;ESTRADA DE JUTURNAIBA, nº SN, KM 5, JUTURNAIBA - SILVA JARDIM/RJ;;HARAS;0152102;0152102;RJ;SILVA JARDIM;02;JUTURNAIBA AGROPECUARIA LTDA
JOQUEI CLUBE PARACATUENSE;16.932.113/0001-65;38600-001;AVENIDA OLEGARIO MACIEL, nº 1070, CENTRO - PARACATU/MG;;CLUBE;9312300;9312300;MG;PARACATU;02;JOQUEI CLUBE PARACATUENSE
NUCLEO HIPICO DE VITORIA LTDA;07.467.144/0001-00;55602-970;SITIO CIPOAL, nº S/N, ZONA RURAL - VITORIA DE SANTO ANTAO/PE;;HARAS;0152102;0152102;PE;VITORIA DE SANTO ANTAO;02;NUCLEO HIPICO DE VITORIA LTDA
LUIZ AUGUSTO DO AMARAL FILHO;07.945.526/0001-93;18145-000;ESTRADA DA CASCAVEL, nº 545, SOROCAMIRIM - SAO ROQUE/SP;(11) 30215441;HARAS;0152102;0152102;SP;SAO ROQUE;02;LUIZ AUGUSTO DO AMARAL FILHO
RONALD WALLACE SIMONSEN;07.949.238/0001-07;18285-000;OUTROS HARAS SAO JOAO DA BOA VISTA, nº S/N, ALELUIA - CESARIO LANGE/SP;(15) 32461273;HARAS;0152102;0152102;SP;CESARIO LANGE;02;RONALD WALLACE SIMONSEN
HELENA BRUGIN GARCIA PIOVESAN E OUTRO;07.958.873/0001-50;16290-000;SÍTIO SANTA HELENA, nº S/N, AGUA LIMPA - BRAUNA/SP;(18) 36921480;HARAS;0152102;0152102;SP;BRAUNA;02;HELENA BRUGIN GARCIA PIOVESAN E OUTRO
ADILSON JOSE DE ALMEIDA;07.963.719/0002-58;19570-000;OUTROS ESTANCIA 4 M, nº S/N, CORREGO DA BARRACA - REGENTE FEIJO/SP;(18) 21013000;HARAS;0152102;0152102;SP;REGENTE FEIJO;02;ADILSON JOSE DE ALMEIDA
VALDEMIRO BECEGATO;08.019.536/0001-60;19570-000;OUTROS BAIRRO DA MEMORIA, nº S/N, HARAS BUUCK, BAIRRO DA MEMORIA - REGENTE FEIJO/SP;(18) 32228246;HARAS;0152102;0152102;SP;REGENTE FEIJO;02;VALDEMIRO BECEGATO
JOAO BENEDITO DE ACHILLES;08.072.948/0001-64;17440-000;FAZENDA SANTA CLARA II, nº S/N, SANTA CLARA - UBIRAJARA/SP;(14) 34721214;HARAS;0152102;0152102;SP;UBIRAJARA;02;JOAO BENEDITO DE ACHILLES
ISRAEL IRAIDES DA COSTA;08.099.198/0001-14;13800-970;SÍTIO SAO PEDRO, nº S/N, ZONA RURAL, TANQUINHO - MOGI MIRIM/SP;(19) 38065835;HARAS;0152102;0152102;SP;MOGI MIRIM;02;ISRAEL IRAIDES DA COSTA
HARAS VALHALLA LTDA;55.519.490/0001-29;04601-002;RUA PRINCESA IZABEL, nº 1788, BROOKLIN - SAO PAULO/SP;;HARAS;0152102;0152102;SP;SAO PAULO;02;HARAS VALHALLA LTDA
O CLUBE DO CAVALO DE DOURADO;54.160.908/0001-91;13590-000;AVENIDA DA SAUDADE, nº SN, NÃO INFORMADO - DOURADO/SP;;CLUBE;9312300;9312300;SP;DOURADO;02;O CLUBE DO CAVALO DE DOURADO
AGROPECUARIA PORTO RICO LIMITADA;00.152.691/0001-49;35675-000;RODOVIA BR 262, nº S/N, KM 380, BOA VISTA - JUATUBA/MG;(31) 33759267;HARAS;0152102;0152102;MG;JUATUBA;02;AGROPECUARIA PORTO RICO LIMITADA
ASSOCIACAO DOS CRIADORES DE PONEI DO RIO GRANDE DO SUL (ACP-RS);94.391.323/0001-05;93270-710;ACESSO RODOVIA FEDERAL BR 116, nº SN, UT 03 NOVO ESTEIO - ESTEIO/RS;(51) 30573067;HARAS;0152102;0152102;RS;ESTEIO;02;ASSOCIACAO DOS CRIADORES DE PONEI DO RIO GRANDE DO SUL (ACP-RS)
ANAPURUS COMERCIO E PARTICIPACOES LTDA;02.762.072/0001-00;18270-010;ESTRADA DE TATUI CERQUILHO, nº S/N, BARRO PRETO - TATUI/SP;(11) 21063846;HARAS;0152102;0152102;SP;TATUI;02;ANAPURUS COMERCIO E PARTICIPACOES LTDA
REGIS EDUARDO TORTORELLA;07.956.499/0001-54;18549-899;FAZENDA SOMBRA DA MATA, nº S/N, ., INDAIATUBA - PORTO FELIZ/SP;(11) 38162500;HARAS;0152102;0152102;SP;PORTO FELIZ;02;REGIS EDUARDO TORTORELLA
OSCAR BRAULIO BEOZZO JUNQUEIRA DE ANDRADE;07.985.642/0001-36;16400-970;FAZENDA GEMA, nº SN, TANGARA - LINS/SP;(14) 35221196;HARAS;0152102;0152102;SP;LINS;02;OSCAR BRAULIO BEOZZO JUNQUEIRA DE ANDRADE
ANTONIO ELIO DE FREITAS FERNANDES;08.034.318/0001-03;18540-000;OUTROS RANCHO 1.400, nº S/N, CAJURU - PORTO FELIZ/SP;(11) 30648106;HARAS;0152102;0152102;SP;PORTO FELIZ;02;ANTONIO ELIO DE FREITAS FERNANDES
HARAS ANDERSON;80.835.481/0002-75;23045-120;RUA AUGUSTO DE VASCONCELOS, nº 964, APT 201/202, CAMPO GRANDE - RIO DE JANEIRO/RJ;(21) 24133262;HARAS;0152102;0152102;RJ;RIO DE JANEIRO;02;HARAS ANDERSON AGRO PECUARIA LTDA.
HARAS JOTER;88.645.932/0002-13;91787-030;ESTRADA DO CHAPEU DO SOL, nº 1800, BELEM NOVO - PORTO ALEGRE/RS;;HARAS;0152102;0152102;RS;PORTO ALEGRE;02;HARAS JOTER LTDA
ASSOC CATAR DOS CRIADORES DE CAVALO QUARTO DE MILHA;76.704.600/0001-00;88306-780;RUA ARIRIBA, nº 125, SITIO DOIS IRMAOS, PRAIA BRAVA - ITAJAI/SC;;CLUBE;9312300;9312300;SC;ITAJAI;02;ASSOC CATAR DOS CRIADORES DE CAVALO QUARTO DE MILHA
JOQUEI CLUBE MARAUENSE;92.450.071/0001-04;99150-000;LOC PARQUE MUNICIPAL, nº SN, CX P 114, DISTRITO - MARAU/RS;;CLUBE;9312300;9312300;RS;MARAU;02;JOQUEI CLUBE MARAUENSE
CARLOS DE SOUZA FILHO;07.921.673/0001-23;18190-000;RODOVIA RAPOSO TAVARES, nº S/N, KM 116,3 ESTANCIA SAO JUDAS TADEU, BARREIRO - ARACOIABA DA SERRA/SP;(15) 32911015;HARAS;0152102;0152102;SP;ARACOIABA DA SERRA;02;CARLOS DE SOUZA FILHO
NUCLEO DOS C DO CAVALO MANGALARGA MARCHADOR DA AMAZONIA;34.621.698/0001-84;67015-710;AVENIDA PRINCIPAL, nº 40, COND LAGO AZUL, LEVILANDIA - ANANINDEUA/PA;(91) 88186827;CLUBE;9312300;9312300;PA;ANANINDEUA;02;NUCLEO DOS C DO CAVALO MANGALARGA MARCHADOR DA AMAZONIA
HARAS 3S;05.330.871/0001-97;92739-899;AREA RURAL, nº 16, KM 16, AREA RURAL DE GUAIBA - GUAIBA/RS;(51) 32244577;HARAS;0152102;0152102;RS;GUAIBA;02;HARAS 3S - CABANHA EQUINOS E AGROPECUARIA LTDA
PEDRO LUIZ OLIVIERI LUCCHESI;07.916.276/0001-63;18700-970;ESTRADA EZEQUIEL RAMOS KM 03, nº S/N, ENTRADA A ESQUERDA, EZEQUIEL RAMOS - AVARE/SP;(14) 37320696;HARAS;0152102;0152102;SP;AVARE;02;PEDRO LUIZ OLIVIERI LUCCHESI
FERNANDO LUIZ SCHETTINO MOREIRA;08.076.098/0001-72;18559-899;FAZENDA CABANA DOS ANJOS, nº S/N, EST MUN QUILOMBO 11 E 15, QUILOMBO - BOITUVA/SP;(11) 28959535;HARAS;0152102;0152102;SP;BOITUVA;02;FERNANDO LUIZ SCHETTINO MOREIRA
HARAS CENTRO SERRA LTDA;04.842.376/0001-02;96900-000;ESTRADA LINHA CAMPOS, nº SN, LINHA CAMPOS - SOBRADINHO/RS;(51) 37421067;HARAS;0152102;0152102;RS;SOBRADINHO;02;HARAS CENTRO SERRA LTDA
LUIZ BELMONTE NETTO;08.153.263/0001-42;18120-000;SÍTIO DO VALE, nº S/N, BREJO - MAIRINQUE/SP;(11) 73379010;HARAS;0152102;0152102;SP;MAIRINQUE;02;LUIZ BELMONTE NETTO
SAULO RENATO SATO;08.187.052/0001-20;16750-000;ESTRADA VICINAL GERALDO STRINGHETA, nº KM 12, SITIO SATO I, VAE QUEM QUER - RUBIACEA/SP;(18) 36062745;HARAS;0152102;0152102;SP;RUBIACEA;02;SAULO RENATO SATO
SERGIO LUIZ DE CAMARGO NARDY;08.200.601/0001-50;13332-000;ESTRADA VELHA DO MIRIM, nº S/N, MIRIM - INDAIATUBA/SP;(19) 38759112;HARAS;0152102;0152102;SP;INDAIATUBA;02;SERGIO LUIZ DE CAMARGO NARDY
SILVIO DE CARVALHO VINCE;08.354.196/0001-24;18270-001;SITIO VINCE, nº S/N, RIO TATUI - TATUI/SP;(15) 32514642;HARAS;0152102;0152102;SP;TATUI;02;SILVIO DE CARVALHO VINCE
EDINEI BARDERI E OUTRO;08.363.907/0001-27;18270-001;CHACARA HARAS DO MATAO, nº SN, MONJOLO - TATUI/SP;(15) 32516429;HARAS;0152102;0152102;SP;TATUI;02;EDINEI BARDERI E OUTRO
MARCIA D ERRICO MELO;08.366.728/0001-43;18270-001;FAZENDA VILLA D A MORE, nº SN, LAGEADO - TATUI/SP;(15) 32516429;HARAS;0152102;0152102;SP;TATUI;02;MARCIA D ERRICO MELO
ADILSON APARECIDO MANTOVANI;08.369.838/0001-69;15910-000;ESTRADA MUNICIPAL PARA O BAIRRO TABARANA 250 METROS A ESQUERDA, nº SN, CHAC DAS PALMEIRAS, CACHOEIRA DOS CORREAS - MONTE ALTO/SP;(16) 97119463;HARAS;0152102;0152102;SP;MONTE ALTO;02;ADILSON APARECIDO MANTOVANI
LUCAS CARDOSO;08.390.716/0001-54;18170-000;ESTRADA MUNICIPAL PIEDADE A VILA ELVIO KM -4, nº S/N, SITIO DA COLINA, SARAPUI - PIEDADE/SP;(15) 32441627;HARAS;0152102;0152102;SP;PIEDADE;02;LUCAS CARDOSO
OTAVIO RIBEIRO;08.391.604/0001-18;12980-000;ESTRADA BAIRRO DOS PINTOS, nº S/N, PINTOS - JOANOPOLIS/SP;(11) 45399247;HARAS;0152102;0152102;SP;JOANOPOLIS;02;OTAVIO RIBEIRO
WILMA DE ALMEIDA PRADO AGUIAR RIBEIRO E OUTRO;08.392.354/0001-30;16027-231;RODOVIA MARECHAL RONDON, nº KM 537, HARAS SANTA CECILIA, AGUA FUNDA - ARACATUBA/SP;(18) 36237717;HARAS;0152102;0152102;SP;ARACATUBA;02;WILMA DE ALMEIDA PRADO AGUIAR RIBEIRO E OUTRO
ADEILDO MARTINI;08.392.845/0001-81;13560-970;SITIO ALVORADA, nº S/N, RURAL - SAO CARLOS/SP;(16) 33076834;HARAS;0152102;0152102;SP;SAO CARLOS;02;ADEILDO MARTINI
LUCIO RIBEIRO MOREIRA;08.409.483/0001-94;12302-210;ESTRADA RIO COMPRIDO, nº KM 103, FAZENDA RIO GUATINGA, RIO COMPRIDO - JACAREI/SP;(12) 39535100;HARAS;0152102;0152102;SP;JACAREI;02;LUCIO RIBEIRO MOREIRA
