id	nutriente_id	peso	tipo_exercicio	valor_exigido
68	4	500	Exercício Leve	23.0000
69	48	500	Exercício Leve	1.2000
70	5	500	Exercício Leve	7.0000
71	49	500	Exercício Leve	1800.0000
72	35	500	Exercício Leve	3.0000
73	6	500	Exercício Leve	18.0000
74	7	500	Exercício Leve	25.0000
75	8	500	Exercício Leve	11.0000
76	9	500	Exercício Leve	19.0000
77	20	500	Exercício Leve	600.0000
78	10	500	Exercício Leve	33.0000
79	12	500	Exercício Leve	10.0000
80	50	500	Exercício Leve	30.0000
81	13	500	Exercício Leve	21.0000
82	14	500	Exercício Leve	17.0000
83	24	500	Exercício Leve	18.0000
84	15	500	Exercício Leve	13.0000
85	16	500	Exercício Leve	18.0000
86	17	500	Exercício Leve	6.0000
87	18	500	Exercício Leve	21.0000
88	36	500	Exercício Leve	27000.0000
89	37	500	Exercício Leve	36.0000
90	42	500	Exercício Leve	300.0000
91	38	500	Exercício Leve	24.0000
92	41	500	Exercício Leve	15.0000
93	43	500	Exercício Leve	6.0000
94	44	500	Exercício Leve	2700.0000
95	45	500	Exercício Leve	3000.0000
96	19	500	Exercício Leve	0.9000
97	1	500	Exercício Moderado	34.0000
98	46	500	Exercício Moderado	15.0000
99	2	500	Exercício Moderado	56.0000
100	47	500	Exercício Moderado	34.0000
101	3	500	Exercício Moderado	30.0000
102	4	500	Exercício Moderado	29.0000
103	48	500	Exercício Moderado	1.5000
104	5	500	Exercício Moderado	9.0000
105	49	500	Exercício Moderado	2250.0000
106	35	500	Exercício Moderado	4.0000
107	6	500	Exercício Moderado	23.0000
108	7	500	Exercício Moderado	32.0000
109	8	500	Exercício Moderado	14.0000
110	9	500	Exercício Moderado	24.0000
111	20	500	Exercício Moderado	750.0000
112	10	500	Exercício Moderado	41.0000
113	12	500	Exercício Moderado	12.0000
114	50	500	Exercício Moderado	38.0000
115	13	500	Exercício Moderado	26.0000
116	14	500	Exercício Moderado	21.0000
117	24	500	Exercício Moderado	23.0000
118	15	500	Exercício Moderado	17.0000
119	16	500	Exercício Moderado	23.0000
120	17	500	Exercício Moderado	8.0000
121	18	500	Exercício Moderado	26.0000
122	36	500	Exercício Moderado	33750.0000
123	37	500	Exercício Moderado	45.0000
124	42	500	Exercício Moderado	380.0000
125	38	500	Exercício Moderado	30.0000
126	41	500	Exercício Moderado	19.0000
127	43	500	Exercício Moderado	7.5000
128	44	500	Exercício Moderado	3375.0000
129	45	500	Exercício Moderado	3750.0000
130	19	500	Exercício Moderado	1.1250
131	1	500	Exercício Pesado	41.0000
132	46	500	Exercício Pesado	18.0000
133	2	500	Exercício Pesado	68.0000
134	47	500	Exercício Pesado	41.0000
135	3	500	Exercício Pesado	36.0000
136	4	500	Exercício Pesado	34.0000
137	48	500	Exercício Pesado	1.8000
138	5	500	Exercício Pesado	11.0000
139	49	500	Exercício Pesado	2700.0000
140	35	500	Exercício Pesado	4.5000
141	6	500	Exercício Pesado	27.0000
142	7	500	Exercício Pesado	38.0000
143	8	500	Exercício Pesado	16.0000
144	9	500	Exercício Pesado	29.0000
145	20	500	Exercício Pesado	900.0000
146	10	500	Exercício Pesado	50.0000
147	12	500	Exercício Pesado	14.0000
148	50	500	Exercício Pesado	45.0000
149	13	500	Exercício Pesado	31.0000
150	14	500	Exercício Pesado	25.0000
151	24	500	Exercício Pesado	27.0000
152	15	500	Exercício Pesado	20.0000
153	16	500	Exercício Pesado	27.0000
154	17	500	Exercício Pesado	9.0000
155	18	500	Exercício Pesado	31.0000
156	36	500	Exercício Pesado	40500.0000
157	37	500	Exercício Pesado	54.0000
158	42	500	Exercício Pesado	450.0000
159	38	500	Exercício Pesado	36.0000
160	41	500	Exercício Pesado	23.0000
161	43	500	Exercício Pesado	9.0000
162	44	500	Exercício Pesado	4050.0000
163	45	500	Exercício Pesado	4500.0000
164	19	500	Exercício Pesado	1.3500
165	1	500	Exercício Muito Pesado	45.0000
166	46	500	Exercício Muito Pesado	20.0000
167	2	500	Exercício Muito Pesado	75.0000
168	47	500	Exercício Muito Pesado	45.0000
169	3	500	Exercício Muito Pesado	40.0000
170	4	500	Exercício Muito Pesado	38.0000
171	48	500	Exercício Muito Pesado	2.0000
172	5	500	Exercício Muito Pesado	12.0000
173	49	500	Exercício Muito Pesado	3000.0000
174	35	500	Exercício Muito Pesado	5.0000
175	6	500	Exercício Muito Pesado	30.0000
176	7	500	Exercício Muito Pesado	42.0000
177	8	500	Exercício Muito Pesado	18.0000
178	9	500	Exercício Muito Pesado	32.0000
179	20	500	Exercício Muito Pesado	1000.0000
180	10	500	Exercício Muito Pesado	55.0000
181	12	500	Exercício Muito Pesado	16.0000
182	50	500	Exercício Muito Pesado	50.0000
183	13	500	Exercício Muito Pesado	35.0000
184	14	500	Exercício Muito Pesado	28.0000
185	24	500	Exercício Muito Pesado	30.0000
186	15	500	Exercício Muito Pesado	22.0000
187	16	500	Exercício Muito Pesado	30.0000
188	17	500	Exercício Muito Pesado	10.0000
189	18	500	Exercício Muito Pesado	35.0000
190	36	500	Exercício Muito Pesado	45000.0000
191	37	500	Exercício Muito Pesado	60.0000
192	42	500	Exercício Muito Pesado	500.0000
193	38	500	Exercício Muito Pesado	40.0000
194	41	500	Exercício Muito Pesado	25.0000
195	43	500	Exercício Muito Pesado	10.0000
196	44	500	Exercício Muito Pesado	4500.0000
197	45	500	Exercício Muito Pesado	5000.0000
198	19	500	Exercício Muito Pesado	1.5000
199	51	500	Exercício Moderado	19.0000
200	52	500	Exercício Moderado	68.0000
201	52	500	Exercício Pesado	81.0000
202	51	500	Exercício Pesado	23.0000
203	51	500	Exercício Muito Pesado	25.0000
204	52	500	Exercício Muito Pesado	90.0000
